UWI,Zone,Fracs Placed,Per Frac Test Rate,Tonnage per Frac,Water per Frac,Average Pumping Rate,Average Breakdown Pressure (Mpa),Average Pumping Pressure (Mpa)
02/13-35-059-20W5/0,All Montney,16,,9.375,20.2,1.8,29.41476868,27.12311262
00/01-36-059-20W5/0,All Montney,16,,10.21875,43.4375,,,
02/01-36-059-20W5/0,All Montney,18,,10,35.59444444,2.6,36.17827376,25.21994693
00/08-36-059-20W5/0,All Montney,14,,,,,,
00/09-36-059-20W5/0,All Montney,16,,10.0375,32.425,2.692791056,32.70854965,24.54013107
00/16-36-059-20W5/0,All Montney,21,,10,35.92380952,,,
00/01-01-059-21W5/4,All Montney,9,,21,48.56666667,4.226666667,39.41111111,34.08888889
00/03-01-059-21W5/0,All Montney,,,,,,,
00/06-01-059-21W5/2,All Montney,,,,,,,
00/06-01-059-21W5/3,All Montney,,,,,,,
00/13-01-059-21W5/0,All Montney,8,,21,70.2075,4.5,44.625,36.0375
00/04-02-059-21W5/0,All Montney,15,,20,61.346,,,
00/10-02-059-21W5/0,All Montney,1,,131.37,557.1,6.75,22.6,29.2
00/01-04-059-21W5/0,All Montney,,,,,,,
00/16-04-059-21W5/2,All Montney,6,,15,106.510005,3,31.74420913,29.39458908
00/11-12-059-21W5/0,All Montney,5,,20.904,88.78,,54.7,
02/16-12-059-21W5/0,All Montney,13,,21.52307692,41.53846154,3.698461538,53.13846154,37.41428571
02/01-13-059-21W5/0,All Montney,11,,20,30.02727273,3.95700878,50.47744407,36.57496216
02/16-24-059-21W5/0,All Montney,14,,23.85714286,29.70714286,,,
00/12-17-059-22W5/2,All Montney,26,,67.51153846,383.1961538,9.127223455,35.68885191,45.99863797
00/07-27-059-22W5/2,All Montney,,,,,,,
00/08-27-059-22W5/3,All Montney,11,,31,76.34545455,3.227272727,33.59090909,20.18181818
00/05-29-059-22W5/0,All Montney,21,,34.99809524,88.51538095,2.608,44.57598101,34.07749439
02/04-32-059-22W5/2,All Montney,11,,26.95454545,66.67272727,3,42.02727273,
00/12-33-059-22W5/3,All Montney,17,,38.57941176,106.8205882,3.336796767,30,35.1
00/02-34-059-22W5/0,All Montney,21,,26,84.00952381,0.3,35.64761905,19
00/10-34-059-22W5/2,All Montney,,,,,,,
00/03-26-059-23W5/0,All Montney,30,,66.86666667,363.49,6.571076022,40.66236449,46.2302122
00/14-16-059-24W5/0,All Montney,32,,80,195.5478125,,,
00/13-15-059-26W5/0,All Montney,20,,150.237,982.652,10.23318182,46.3765161,62.91636364
00/02-31-059-26W5/0,All Montney,13,,47.05307692,390.7846154,5.845597291,45.90349939,
02/13-20-060-17W5/2,All Montney,8,,3.25625,63.845,4.416666667,36.025,
00/14-32-060-17W5/0,All Montney,5,,10.5,40.79,,,
00/02-33-060-17W5/4,All Montney,6,,10,36.09833333,,,
00/05-33-060-17W5/2,All Montney,1,,40,88.68,,,
00/05-33-060-17W5/3,All Montney,1,,30,79.63,,,
00/13-33-060-17W5/0,All Montney,7,,10.48571429,33.26,,25.78571429,
00/03-05-060-18W5/0,All Montney,8,,10,32.65125,,,
00/03-09-060-18W5/0,All Montney,,,,,,,
00/03-09-060-18W5/2,All Montney,4,,6.875,28.15,,,
02/16-15-060-18W5/0,All Montney,7,,14.14285714,60.71428571,,,
02/13-16-060-18W5/2,All Montney,5,,21,61.4,,,
02/01-18-060-18W5/0,All Montney,11,,9.409090909,33.18181818,,,
00/01-20-060-18W5/0,All Montney,15,,8.133333333,32.66666667,,,
02/02-21-060-18W5/0,All Montney,7,,12.71428571,67.85714286,,,
00/03-21-060-18W5/0,All Montney,11,,11,48.76363636,,,
00/04-21-060-18W5/0,All Montney,11,,5.5,34.46272727,,,
02/16-21-060-18W5/2,All Montney,7,,15.85714286,44.53428571,,,
00/04-22-060-18W5/0,All Montney,7,,15,52.03428571,,,
02/04-22-060-18W5/0,All Montney,18,,11,38.65055556,,,
00/05-22-060-18W5/0,All Montney,11,,11,39.72272727,,,
02/16-22-060-18W5/3,All Montney,5,,13.4,50.594,,,
00/09-23-060-18W5/0,All Montney,7,,16.28571429,49.07142857,,,
00/16-23-060-18W5/0,All Montney,7,,9.47,38.82,,,
00/04-25-060-18W5/0,All Montney,6,,10,34.08333333,,,
00/04-26-060-18W5/0,All Montney,7,,22.85714286,54.71,,,
00/13-27-060-18W5/0,All Montney,7,,12.71428571,51.11714286,2,30.71428571,22.5
03/14-27-060-18W5/0,All Montney,11,,,37.56454545,,29.71818182,
00/15-27-060-18W5/0,All Montney,12,,11,37.75,,,
02/16-27-060-18W5/0,All Montney,11,,11,46.14909091,,,
00/13-28-060-18W5/0,All Montney,7,,16,44.40142857,,,
00/14-28-060-18W5/0,All Montney,9,,16,56.18444444,,,
00/14-28-060-18W5/2,All Montney,1,,7,98.58,,,
00/15-28-060-18W5/0,All Montney,11,,15,40.99090909,,,
00/16-28-060-18W5/0,All Montney,16,,11,44.380625,,,
00/03-29-060-18W5/0,All Montney,5,,15,53.698,,,
02/13-29-060-18W5/0,All Montney,7,,14.57142857,45.39857143,,,
00/16-29-060-18W5/2,All Montney,7,,15.85714286,48.10142857,,,
00/01-32-060-18W5/0,All Montney,10,,17,58.308,,,
00/04-33-060-18W5/0,All Montney,15,,21,50.126,,,
00/12-33-060-18W5/0,All Montney,15,,15,54.61466667,,,
00/13-33-060-18W5/0,All Montney,15,,21.66666667,63.588,,,
02/01-34-060-18W5/0,All Montney,14,,14,49.29285714,,,
00/09-34-060-18W5/0,All Montney,12,,15,40.215,1.8,,19.85577909
00/16-34-060-18W5/0,All Montney,15,,20,38.33333333,,,
00/02-06-060-19W5/0,All Montney,23,,10.03913043,35.79565217,2.7,28.13346289,25.12940605
02/03-06-060-19W5/0,All Montney,13,,11.58461538,38.43076923,2.690772618,33.28034321,23.35184147
02/04-06-060-19W5/0,All Montney,22,,10,52.47272727,,,
00/06-06-060-19W5/0,All Montney,7,,,34.55714286,,,
00/13-07-060-19W5/0,All Montney,15,,10,43.35333333,2.6,,26.92238122
00/16-07-060-19W5/0,All Montney,7,,10,39,,,
00/03-08-060-19W5/0,All Montney,13,,21,48.9,,,
00/04-08-060-19W5/0,All Montney,7,,30.92857143,85.75714286,,,
00/15-08-060-19W5/0,All Montney,5,,21,65.204,,,
00/04-09-060-19W5/0,All Montney,6,,25,63.38666667,,,
00/10-09-060-19W5/0,All Montney,5,,30,63.5,,,
00/01-10-060-19W5/0,All Montney,7,,16,46.95285714,,,
00/04-10-060-19W5/0,All Montney,5,,21,63.126,,,
00/09-10-060-19W5/0,All Montney,11,,21,57.04636364,,,
00/15-10-060-19W5/2,All Montney,5,,21,54.612,,,
00/04-11-060-19W5/0,All Montney,7,,20,65.44285714,,,
00/07-11-060-19W5/2,All Montney,7,,20,57.95714286,,,
02/11-11-060-19W5/0,All Montney,,,,,,,
00/16-11-060-19W5/0,All Montney,8,,20,52.615,,,
00/08-13-060-19W5/0,All Montney,11,,13.18181818,40.20090909,,,
00/09-13-060-19W5/0,All Montney,11,,20,47.06909091,,,
00/01-15-060-19W5/0,All Montney,23,,14.34782609,47.2173913,2.9400369,39.16429889,26.35137454
00/04-15-060-19W5/0,All Montney,11,,20,46.98545455,,,
00/03-16-060-19W5/2,All Montney,11,,21,61.06363636,,,
00/08-16-060-19W5/0,All Montney,11,,21,60.36363636,,,
00/12-16-060-19W5/0,All Montney,5,,19.94,56.54,2.072921825,47.16756279,31.50371418
02/13-16-060-19W5/0,All Montney,,,,,,,
00/01-17-060-19W5/0,All Montney,7,,31,81.71428571,,,
02/02-17-060-19W5/0,All Montney,12,,,56.05,,,
00/03-17-060-19W5/0,All Montney,11,,21,66.87090909,,,
00/04-18-060-19W5/0,All Montney,11,,21,59.32818182,,23.82727273,
00/05-18-060-19W5/2,All Montney,15,,21,50.30666667,,,
00/08-18-060-19W5/0,All Montney,,,,,,,
00/09-18-060-19W5/0,All Montney,7,,21,66.96142857,,,
00/13-19-060-19W5/2,All Montney,7,,14.71428571,34.57428571,,,
00/16-19-060-19W5/0,All Montney,7,,31,84.28571429,,,
00/08-20-060-19W5/0,All Montney,7,,18,58.71142857,,,
02/13-20-060-19W5/0,All Montney,11,,21,61.06363636,,,
03/13-20-060-19W5/0,All Montney,11,,21,63.23727273,,,
02/01-21-060-19W5/0,All Montney,12,,31,61.59166667,,,
