"","x"
"302","00/B-023-H/093-P-09/0"
"303","00/B-029-H/093-P-09/0"
"304","00/B-035-H/093-P-09/0"
"305","00/B-048-H/093-P-09/0"
"306","00/B-051-F/094-B-09/0"
"307","00/B-052-I/094-A-13/0"
"308","00/B-056-J/094-B-16/0"
"309","00/B-058-H/093-P-09/0"
"310","00/B-073-A/093-P-10/2"
"311","00/B-100-H/094-B-16/0"
"312","00/C-006-B/094-G-01/0"
"313","00/C-006-H/093-P-09/2"
"314","00/C-015-I/094-B-08/3"
"315","00/C-022-J/094-B-09/0"
"316","00/C-041-F/094-B-09/0"
"317","00/C-041-I/094-B-16/0"
"318","00/C-046-J/094-B-16/0"
"319","00/C-052-E/094-G-01/0"
"320","00/C-052-H/094-B-09/2"
"321","00/C-057-C/094-G-01/0"
"322","00/C-058-G/094-B-08/0"
"323","00/C-091-C/093-P-09/0"
"324","00/C-100-I/094-B-09/2"
"325","00/D-014-F/093-P-09/0"
"326","00/D-015-G/093-P-09/0"
"327","00/D-021-G/093-P-09/0"
"328","00/D-024-J/094-B-08/0"
"329","00/D-042-I/094-B-16/0"
"330","00/D-052-E/094-G-01/0"
"331","00/D-065-I/094-B-01/0"
"332","00/D-078-J/094-B-16/0"
"333","00/D-096-B/094-B-16/0"
"334","02/A-008-F/094-G-01/0"
"335","02/A-012-I/094-G-01/0"
"336","02/A-016-B/094-G-01/0"
"337","02/A-027-H/093-P-09/0"
"338","02/A-045-E/094-G-01/0"
"339","02/A-091-G/094-B-16/0"
"340","02/A-091-J/094-B-09/0"
"341","02/A-094-F/094-B-16/0"
"342","02/B-027-H/094-B-16/0"
"343","02/B-087-J/094-B-16/0"
"344","02/C-052-E/094-G-01/0"
"345","02/C-062-J/094-B-16/0"
"346","02/C-082-F/094-G-01/0"
"347","02/C-100-I/094-B-09/0"
"348","02/D-018-H/093-P-09/0"
"349","02/D-043-H/094-B-08/0"
"350","02/D-078-J/094-B-16/0"
"351","02/D-100-I/094-B-09/0"
"352","03/A-045-E/094-G-01/0"
"353","03/A-091-G/094-B-16/0"
"354","03/A-100-H/094-B-09/0"
"355","03/B-087-J/094-B-16/2"
"356","03/B-100-H/094-B-16/0"
"357","03/C-081-F/094-G-01/0"
"358","03/D-026-B/094-B-16/0"
"359","03/D-088-F/094-G-01/0"
"360","04/B-087-J/094-B-16/0"
"361","00/05-16-064-03W6/0"
"362","00/07-08-065-03W6/0"
"363","00/14-05-068-05W6/0"
"364","00/A-033-D/094-H-04/0"
"365","00/A-034-I/094-G-02/0"
"366","00/A-036-B/094-G-08/0"
"367","00/A-038-K/094-G-01/0"
"368","02/14-34-067-04W6/0"
"369","00/A-044-B/094-G-08/0"
"370","00/A-048-A/094-G-08/0"
"371","00/A-050-G/094-G-02/0"
"372","00/A-052-B/094-G-02/0"
"373","00/A-075-D/094-H-04/0"
"374","00/A-088-A/094-G-02/0"
"375","00/A-092-F/094-G-02/0"
"376","00/B-004-K/094-H-03/0"
"377","00/B-034-C/094-H-04/0"
"378","00/B-042-J/094-G-01/0"
"379","00/B-047-A/094-G-08/0"
"380","00/B-051-B/094-G-02/0"
"381","00/B-069-D/094-H-03/0"
"382","00/B-075-D/094-H-04/0"
"383","00/B-075-J/094-G-01/0"
"384","00/C-001-H/094-G-07/0"
"385","00/C-010-A/094-G-08/0"
"386","00/C-010-L/094-G-01/2"
"387","00/C-026-I/094-G-02/0"
"388","00/C-039-J/094-G-02/0"
"389","00/C-041-H/094-G-02/0"
"390","00/C-059-D/094-H-03/0"
"391","00/C-069-D/094-H-03/0"
"392","00/D-001-I/094-G-02/0"
"393","00/D-002-G/094-G-02/0"
"394","00/D-002-H/094-G-07/0"
"395","00/D-010-B/094-H-04/0"
"396","00/D-016-J/094-G-02/0"
"397","00/D-031-F/094-G-07/0"
"398","00/D-036-B/094-G-08/0"
"399","00/D-046-D/094-G-08/0"
"400","00/D-078-A/094-G-02/0"
"401","00/D-091-D/094-G-10/0"
"402","02/A-032-D/094-H-04/0"
"403","02/A-036-I/094-G-02/0"
"404","02/A-088-A/094-G-02/0"
"405","02/A-099-D/094-H-05/0"
"406","02/B-010-B/094-H-04/0"
"407","02/B-049-J/094-G-02/0"
"408","02/B-077-I/094-B-01/2"
"409","02/D-002-E/094-G-08/0"
"410","02/D-023-L/094-G-08/2"
"411","02/D-050-G/094-G-02/0"
"412","02/D-059-B/094-G-02/0"
"413","02/D-064-A/094-H-04/0"
